Strain ID,Soil sample name,Country of origin,Color of colony,Colony morphology,WT halo against AB?,WT halo against E. coli?,Frozen on:,Sent through co-ALE?,Sequenced?,Antibiotic susceptibility info?,Bioactive cmpd identified?,Comments,Strain,Description of soil sample,Location,GPS coordinates,Date of collection,Collected by:,Media for Isolation,Soil meta Comments
NBC 00842,Kge water hole,Denmark,brown,flat / large folds,No,No,6/23/2017,,,,,,NBC 00842,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00843,Kge water hole,Denmark,white,wrinkly,reduced ZOI,No,6/24/2017,Yes,Yes,,,Consider as platform host,NBC 00843,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00844,Kge water hole,Denmark,gray,flat,No,No,6/25/2017,Yes,,,,Consider as platform host,NBC 00844,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00845,Kge water hole,Denmark,tan / gray / white,flat,unsure,unsure,6/26/2017,Yes,,,,Consider as platform host,NBC 00845,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00846,Kge water hole,Denmark,gray / green,large folds,No,No,6/27/2017,,,,,Consider as platform host,NBC 00846,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00847,Kge forest,Denmark,tan / white,bumpy,No,No,6/28/2017,,,,,,NBC 00847,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00848,Kge forest,Denmark,,,,,6/29/2017,,,,,,NBC 00848,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00849,Kge forest,Denmark,tan / white,bumpy,unsure,unsure,6/30/2017,,,,,,NBC 00849,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00850,FredPark1,Denmark,tan,blob-like,No,No,7/1/2017,,,,,Not an actino.  Ignore,NBC 00850,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00851,FredPark1,Denmark,white / bluish gray,flat / bumpy,No,No,7/2/2017,,,,,Possible fungus,NBC 00851,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00852,FredPark1,Denmark,tan / brown,flat,No,No,7/3/2017,,,,,Consider as platform host,NBC 00852,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00853,FredPark1,Denmark,tan / white,plateau-like,No,reduced ZOI,7/4/2017,,Yes,,,,NBC 00853,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00854,Kge forest,Denmark,white / gray,bumpy / fuzzy,50 mm,50 mm,7/5/2017,,,,,,NBC 00854,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00855,Kge cow field,Denmark,orange,bumpy,No,No,6/14/2017,,,,,Likely duplicate; don�t evolve,NBC 00855,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00856,Kge cow field,Denmark,brown / white / gray,wrinkly,No,No,6/14/2017,,,,,"duplicate, but I don't know of what",NBC 00856,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00857,Kge cow field,Denmark,tan / white,bumpy,No,No,6/14/2017,,,,,,NBC 00857,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00858,Kge cow field,Denmark,orange,flat,No,No,6/14/2017,,,,,Likely duplicate; don�t evolve,NBC 00858,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00859,Kge water hole,Denmark,tan,flat / bumpy,reduced ZOI,No,6/14/2017,,Yes,,,,NBC 00859,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00860,FredPark2,Denmark,orange,flat,No,No,6/14/2017,,,,,Likely duplicate; don�t evolve,NBC 00860,Frederiksberg park #2,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00861,Rasnov,Romania,white / gray,fuzzy,No,No,7/17/2017,,,,,,NBC 00861,exposed root soil on path up to castle,Rasnov,"45° 35' 24"" N   25° 28' 3"" E","Week 46, 2016",Pep Charusanti,,
NBC 00862,FredPark1,Denmark,orange / black,"smooth, but digs into agar",reduced ZOI,No,7/17/2017,,,,,,NBC 00862,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00863,FredPark1,Denmark,yellow,slimy,unsure,unsure,7/17/2017,,,,,,NBC 00863,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00864,FredPark1,Denmark,tan,"outer radial lines, bumpy interior",reduced ZOI,No,7/17/2017,,,,,,NBC 00864,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00865,FredPark1,Denmark,,,,,9/14/2017,,,,,,NBC 00865,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00866,FredPark2,Denmark,yellow / white / gray,bumpy,No,No,7/17/2017,,,,,,NBC 00866,Frederiksberg park #2,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00867,FredPark2,Denmark,white / gray,flat,2 mm,2 mm,7/17/2017,,Yes,,,,NBC 00867,Frederiksberg park #2,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00868,FredPark2,Denmark,red / white / tan,"outer radial lines, bumpy interior",reduced ZOI,No,7/17/2017,,Yes,,,,NBC 00868,Frederiksberg park #2,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00869,Kge forest,Denmark,tan,bumpy,reduced ZOI,No,7/17/2017,,Yes,,,,NBC 00869,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00870,Kge forest,Denmark,white / gray,flat,reduced ZOI,reduced ZOI,7/17/2017,,Yes,,,,NBC 00870,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00871,Kge forest,Denmark,white,"outer radial lines, bumpy interior",No,No,7/17/2017,,,,,,NBC 00871,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00872,Kge forest,Denmark,tan / white,See pic; weird morphology,1 mm,3 mm,7/17/2017,,Yes,,,,NBC 00872,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00873,Kge water hole,Denmark,tan,wrinkly,No,No,7/17/2017,,,,,,NBC 00873,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00874,Kge water hole,Denmark,yellow,slimy,No,No,7/17/2017,,,,,Rhodococcus,NBC 00874,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00875,Kge water hole,Denmark,red,too small to tell,Not tested,Not tested,7/17/2017,,,,,,NBC 00875,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00876,Kge water hole,Denmark,white / reddish brown base,small bumps; same phenotype as 108-EV,No,No,8/7/2017,,,,,,NBC 00876,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00877,Kge cow field,Denmark,yellow / orange / white,too small to tell,No,unsure,7/17/2017,,,,,,NBC 00877,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00878,Kge cow field,Denmark,red / pink / gray,wrinkly,No,reduced ZOI,7/17/2017,,,,,,NBC 00878,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00879,Kge cow field,Denmark,tan / white,bumpy,unsure,unsure,7/17/2017,,,,,,NBC 00879,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00880,Kge flower field,Denmark,tan / white / gray,"outer radial lines, fortress like",No,No,7/17/2017,,,,,,NBC 00880,Køge flower field,Køge,,May 2017,Mie Damborg,,
NBC 00881,Kge flower field,Denmark,tan,wrinkly,No,No,7/17/2017,,,,,Ignore this one; don't evolve,NBC 00881,Køge flower field,Køge,,May 2017,Mie Damborg,,
NBC 00882,FredPark1,Denmark,"brown base, white / gray aerial mycelia",wrinkly,No,No,7/31/2017,,,,,,NBC 00882,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00883,FredPark2,Denmark,white,very small dots that didn't form a biofilm,No,No,7/31/2017,,,,,"Ignore this strain; not an actino.  Efi extracted this strain and said the extract smelled like vinegar.  Moreover, there were no halos after HPLC.  Thus, it looks like the lack of pathogen growth is due to a change in pH or something like that rather than the presence of a bioactive compound.",NBC 00883,Frederiksberg park #2,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00884,Kge cow field,Denmark,red,bumpy,No,No,7/31/2017,,,,,,NBC 00884,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00885,Kge cow field,Denmark,yellow / white,small bumps,No,no,7/31/2017,,,,,,NBC 00885,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00886,Kge cow field,Denmark,tan,wrinkly,unsure,unsure,7/31/2017,,,,,,NBC 00886,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00887,Kge cow field,Denmark,yellow / white / gray,large wrinkles,No,No,7/31/2017,,,,,,NBC 00887,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00888,Kge cow field,Denmark,yellow / white,small bumps,No,unsure,7/31/2017,,,,,,NBC 00888,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00889,Kge cow field,Denmark,tan / white,large wrinkles,unsure,No,7/31/2017,,,,,,NBC 00889,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00890,Kge cow field,Denmark,white / gray,"outer radial lines, flat/smooth center",No,2 mm,7/31/2017,,Yes,,,,NBC 00890,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00891,Kge cow field,Denmark,brown / white / gray,bumpy,No,No,7/31/2017,,,,,,NBC 00891,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00892,Kge cow field,Denmark,"white / gray aerial mycelia, dark red base",flat / small bumps,No,No,7/31/2017,,,,,Fast grower.,NBC 00892,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00893,Kge cow field,Denmark,brown / black,flat / wrinkly,No,No,7/31/2017,,,,,,NBC 00893,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00894,Kge water hole,Denmark,tan,flat / wrinkly,unsure,No,7/31/2017,,,,,,NBC 00894,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00895,Kge cow field,Denmark,tan / white,small bumps,No,No,7/31/2017,,,,,,NBC 00895,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00896,Kge cow field,Denmark,white,small bumps,No,No,7/31/2017,,,,,,NBC 00896,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00897,Kge forest,Denmark,orange,large wrinkles,No,No,7/31/2017,,,,,,NBC 00897,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00898,Kge forest,Denmark,,,,,7/31/2017,,,,,,NBC 00898,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00899,Kge forest,Denmark,brown,wrinkly,No,No,7/31/2017,,,,,,NBC 00899,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00900,FredPark2,Denmark,white / pink,bumpy / fuzzy,No,No,7/31/2017,,,,,,NBC 00900,Frederiksberg park #2,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00901,FredPark2,Denmark,white / gray,large bumps,No,No,7/31/2017,,,,,,NBC 00901,Frederiksberg park #2,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00902,Kge water hole,Denmark,gray,fortress-like,No,No,7/31/2017,,,,,,NBC 00902,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00903,Kge forest,Denmark,tan,wrinkly,No,No,7/31/2017,,,,,,NBC 00903,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00904,Kge flower field,Denmark,tan,mountain-like,No,No,7/31/2017,,,,,ANTIFUNGAL ACTIVITY,NBC 00904,Køge flower field,Køge,,May 2017,Mie Damborg,,
NBC 00905,FredPark1,Denmark,,,,,8/7/2017,,,,,,NBC 00905,Frederiksberg park #1,Copenhagen,,2017-04-01,Efi Kontou,,
NBC 00906,Kge water hole,Denmark,tan,large folds,reduced ZOI,reduced ZOI,8/7/2017,,Yes,,,,NBC 00906,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00907,Kge cow field,Denmark,too small; not tested,too small; not tested,Not tested,Not tested,8/15/2017,,,,,,NBC 00907,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00909,Kge cow field,Denmark,gray / black,bumpy / fuzzy,1 mm,5 mm,8/15/2017,,Yes,,,,NBC 00909,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00910,Kge flower field,Denmark,tan,flat,No,No,8/15/2017,,,,,,NBC 00910,Køge flower field,Køge,,May 2017,Mie Damborg,,
NBC 00911,Kge flower field,Denmark,Forgot to record,Forgot to record,No,No,8/15/2017,,,,,,NBC 00911,Køge flower field,Køge,,May 2017,Mie Damborg,,
NBC 00912,Kge flower field,Denmark,brown,peeling off,No,No,8/15/2017,,,,,,NBC 00912,Køge flower field,Køge,,May 2017,Mie Damborg,,
NBC 00913,Kge forest,Denmark,,,,,9/14/2017,,,,,,NBC 00913,Køge forest,Køge,,May 2017,Mie Damborg,,
NBC 00914,Kge flower field,Denmark,white a.m. / orange base,mountain-like,No,No,9/14/2017,,,,,,NBC 00914,Køge flower field,Køge,,May 2017,Mie Damborg,,
NBC 00915,Kge water hole,Denmark,,,,,9/14/2017,,,,,,NBC 00915,Køge water hole,Køge,,May 2017,Mie Damborg,,
NBC 00916,Kge cow field,Denmark,,,,,9/14/2017,,,,,,NBC 00916,Køge cow field,Køge,,May 2017,Mie Damborg,,
NBC 00917,Efi roses,Greece,brown / tan,flat / smooth,unsure,No,11/27/2017,,,,,,NBC 00917,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00918,Efi roses,Greece,"green base, white/gray aerial mycelia",fuzzy,No,No,10/31/2017,,,,,,NBC 00918,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00919,Efi roses,Greece,gray,small bumps,No,No,10/31/2017,,,,,,NBC 00919,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00920,Efi roses,Greece,"green base, white aerial mycelia",bumpy,No,reduced ZOI,10/31/2017,,Yes,,,,NBC 00920,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00921,Efi roses,Greece,white,peeling off,No,No,10/31/2017,,,,,,NBC 00921,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00922,Efi roses,Greece,white,small bumps,No,unsure,10/31/2017,,,,,,NBC 00922,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00923,Efi roses,Greece,tan,"outer radial lines, bumpy interior",No,No,11/24/2017,,,,,,NBC 00923,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00924,Efi roses,Greece,orange / brown,flat,No,No,10/31/2017,,,,,,NBC 00924,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00925,Efi roses,Greece,white / gray,flat,No,reduced ZOI,10/31/2017,,,,,,NBC 00925,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00926,Efi roses,Greece,yellow / white,flat,No,No,10/31/2017,,,,,,NBC 00926,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00927,Efi roses,Greece,red / white / gray,bumpy,No,No,10/31/2017,,,,,,NBC 00927,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00928,Efi roses,Greece,yellow / white,wrinkly,No,No,10/31/2017,,,,,"Likely duplicate, but I don't know of what",NBC 00928,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00929,Odder compost,Denmark,white,wrinkly,No,unsure,10/31/2017,,,,,,NBC 00929,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00930,Odder compost,Denmark,white,fuzzy,No,No,10/31/2017,,,,,,NBC 00930,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00931,Odder compost,Denmark,white,peeling off,No,No,10/31/2017,,,,,,NBC 00931,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00932,Odder compost,Denmark,yellow / white,flat / wrinkly,No,reduced ZOI,10/31/2017,,Yes,,,,NBC 00932,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00933,Odder compost,Denmark,white,flat / peeling off,No,No,10/31/2017,,,,,NBC 00933 and 00936 are likely duplicates,NBC 00933,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00934,Odder compost,Denmark,white,flat,No,No,10/31/2017,,,,,,NBC 00934,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00935,Odder compost,Denmark,white,"outer radial lines, bumpy interior",No,No,10/31/2017,,,,,,NBC 00935,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00936,Odder compost,Denmark,white,flat / peeling off,No,No,10/31/2017,,,,,NBC 00933 and 00936 are likely duplicates,NBC 00936,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00937,Efi olive tree,Greece,red / white / gray,mountain-like,No,reduced ZOI,10/31/2017,,Yes,,,,NBC 00937,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00938,Efi olive tree,Greece,yellow / white / gray,bumpy / flat,No,reduced ZOI,10/31/2017,,Yes,,,,NBC 00938,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00939,Efi olive tree,Greece,white / gray,flat / wrinkly,No,reduced ZOI,10/31/2017,,Yes,,,,NBC 00939,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00940,Efi olive tree,Greece,orange / gray,bumpy,No,reduced ZOI,10/31/2017,,Yes,,,,NBC 00940,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00941,Efi olive tree,Greece,white / gray,wrinkly,unsure,reduced ZOI,10/31/2017,,Yes,,,,NBC 00941,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00942,Efi olive tree,Greece,white,fluffy,reduced ZOI,4 mm,10/31/2017,,Yes,,,,NBC 00942,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00943,Odder compost,Denmark,orange / red,bumpy,reduced ZOI,reduced ZOI,11/15/2017,,,,,,NBC 00943,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00944,Odder compost,Denmark,,,Not tested,Not tested,11/15/2017,,,,,Original plate was contaminated,NBC 00944,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00945,Odder compost,Denmark,,,,,11/27/2017,,,,,,NBC 00945,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00946,Efi olive tree,Greece,tan / gray,flat,No,No,11/27/2017,,,,,,NBC 00946,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00947,Efi olive tree,Greece,white,flat,No,No,11/15/2017,,,,,Ignore this strain.  Doesn�t look like an actino.  Looks like the strains Emilia brought from the urn in Sicilia,NBC 00947,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00948,Efi olive tree,Greece,white / gray,outer radial lines / inner wrinkles,No,No,11/24/2017,,,,,,NBC 00948,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00949,Efi olive tree,Greece,"brown base, white / gray aerial mycelia",small bumps,No,6 mm,11/24/2017,,Yes,,,,NBC 00949,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00950,Efi olive tree,Greece,tan,wrinkly,unsure,No,11/24/2017,,,,,,NBC 00950,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00951,Efi olive tree,Greece,tan / gray / white spots,"outer radial lines, bumpy interior",No,No,11/24/2017,,,,,,NBC 00951,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00952,Efi olive tree,Greece,white / gray,bumpy,reduced ZOI,reduced ZOI,11/24/2017,,Yes,,,,NBC 00952,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00953,Efi olive tree,Greece,white / gray,large bumps,reduced ZOI,2 mm,11/24/2017,,,,,,NBC 00953,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00954,Efi olive tree,Greece,white / gray,volcano-like,unsure,No,11/24/2017,,,,,,NBC 00954,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00955,Efi roses,Greece,black / tan,flat,unsure,No,11/24/2017,,,,,,NBC 00955,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00956,Efi roses,Greece,gray / white,small bumps,No,reduced ZOI,11/24/2017,,Yes,,,,NBC 00956,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00957,Efi roses,Greece,tan,wrinkly,No,reduced ZOI,11/24/2017,,Yes,,,,NBC 00957,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00958,Efi roses,Greece,white / gray / green,wrinkly,unsure,reduced ZOI,11/24/2017,,Yes,,,,NBC 00958,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00959,Efi roses,Greece,"black base, white/gray aerial mycelia",flat / smooth,No,No,11/24/2017,,,,,"Definite duplicate, but I don't know of what.  I've seen this strain many times now",NBC 00959,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00960,Odder compost,Denmark,tan / white,peeling off,No,unsure,11/24/2017,,,,,,NBC 00960,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00961,Efi olive tree,Greece,brown,flat / wrinkly,unsure,No,11/27/2017,,,,,,NBC 00961,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00962,Efi roses,Greece,tan,bumpy,unsure,No,11/27/2017,,,,,,NBC 00962,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00963,Odder compost,Denmark,tan,wrinkly,No,reduced ZOI,11/27/2017,,Yes,,,,NBC 00963,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00964,Efi olive tree,Greece,tan / white,wrinkly,1 mm,6 mm,11/27/2017,,Yes,,,,NBC 00964,Efi's backyard in Greece; olive tree,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00965,Odder compost,Denmark,,,,,12/14/2017,,,,,,NBC 00965,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00966,Odder compost,Denmark,,,,,12/14/2017,,,,,,NBC 00966,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00967,Efi roses,Greece,,,,,12/14/2017,,,,,,NBC 00967,Efi's backyard in Greece; next to roses,"Corfu, Greece",,Oct 2017,Efi Kontou,,
NBC 00968,Odder compost,Denmark,,,,,12/14/2017,,,,,,NBC 00968,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00969,Odder compost,Denmark,,,,,12/14/2017,,,,,,NBC 00969,From someone's backyard compost pile (sent in response to Dynamo article,"Odder (near Aarhus), Denmark",,Oct 2017,,,Soil was sent in response to an article in Dynamo magazine.  There are no legal restrictions on the use of this soil
NBC 00970,Julie island school 2016,Denmark,"white outer ring, gray / black interior",spider web-like,reduced ZOI,No,10/7/2019,Yes,,,,,NBC 00970,Venø (Island where Julie went to boarding school) ,Venø,,Summer 2017,Julie Nielsen,,
NBC 00971,Julie island school 2016,Denmark,white / gray / yellow,wrinkly,No,No,10/7/2019,Yes,,,,,NBC 00971,Venø (Island where Julie went to boarding school) ,Venø,,Summer 2017,Julie Nielsen,,
NBC 00972,Julie island school 2016,Denmark,white / gray / brown,small bumps,12 mm,5 mm,10/7/2019,Yes,Yes,,,,NBC 00972,Venø (Island where Julie went to boarding school) ,Venø,,Summer 2017,Julie Nielsen,,
NBC 00973,Lemvig 2016,Denmark,gray,fortress-like,No,No,10/7/2019,Yes,,,,Sporulates quickly,NBC 00973,close to an old pig farm,Julie's parent's field (Jutland),,Summer 2017,Julie Nielsen,,
NBC 00974,Lemvig 2016,Denmark,tan / white,wrinkly,3 mm,2 mm,10/7/2019,Yes,Yes,,,,NBC 00974,close to an old pig farm,Julie's parent's field (Jutland),,Summer 2017,Julie Nielsen,,
NBC 00975,Lemvig 2016,Denmark,white,fluffy,No,4 mm,10/9/2019,Yes,Yes,,,,NBC 00975,close to an old pig farm,Julie's parent's field (Jutland),,Summer 2017,Julie Nielsen,,
NBC 00976,Lemvig 2016,Denmark,black / gray,wrinkly,No,No,10/9/2019,Yes,,,,,NBC 00976,close to an old pig farm,Julie's parent's field (Jutland),,Summer 2017,Julie Nielsen,,
NBC 00977,Lemvig 2016,Denmark,tan / white,wrinkly,No,No,10/14/2019,Yes,,,,,NBC 00977,close to an old pig farm,Julie's parent's field (Jutland),,Summer 2017,Julie Nielsen,,
NBC 00978,Lemvig 2016,Denmark,tan / white,wrinkly,3 mm,3 mm,10/14/2019,Yes,,,,,NBC 00978,close to an old pig farm,Julie's parent's field (Jutland),,Summer 2017,Julie Nielsen,,
NBC 00979,Lemvig 2016,Denmark,"yellow outer ring, white/gray center",fortress-like / bumpy,No,No,10/14/2019,Yes,,,,,NBC 00979,close to an old pig farm,Julie's parent's field (Jutland),,Summer 2017,Julie Nielsen,,
