Strain ID,Soil sample name,Country of origin,Color of colony,Colony morphology,WT halo against AB?,WT halo against E. coli?,Frozen on:,Sent through co-ALE?,Sequenced?,Antibiotic susceptibility info?,Bioactive cmpd identified?,Comments,Strain,Description of soil sample,Location,GPS coordinates,Date of collection,Collected by:,Media for Isolation,Soil meta Comments
NBC 01197,Anholt10,Denmark,tan,wrinkly,reduced ZOI,1 mm,8/7/2020,Yes,Yes,,,,NBC 01197,10. soil under Ammophila arenaria,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01198,Givskud,Denmark,light tan,flat,No,No,8/7/2020,,Yes,,,,NBC 01198,Field of grass / brush,Givskud,"55° 48' 29"" N   9° 22' 11"" E",2020-07-01,Charlotte Beck, ISP4 & MS,
NBC 01199,Anholt2,Denmark,orange,wrinkly,No,No,8/7/2020,,Yes,,,Duplicate; I've seen this one before,NBC 01199,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01200,CWH 09,Denmark,gray,flat / small bumps,No,No,8/10/2020,,,,,,NBC 01200,9) wet forest soil near alpaca farm,Tranekær,"55°01'27.8""N 10°50'36.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01201,CWH 09,Denmark,grayish white,large folds,No,No,8/10/2020,,Yes,,,,NBC 01201,9) wet forest soil near alpaca farm,Tranekær,"55°01'27.8""N 10°50'36.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01202,CWH 09,Denmark,tan / white,small bumps,reduced ZOI,No,8/10/2020,Yes,Yes,,,,NBC 01202,9) wet forest soil near alpaca farm,Tranekær,"55°01'27.8""N 10°50'36.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01203,CWH 09,Denmark,tan,flat / small bumps,unsure,No,8/10/2020,,Yes,,,,NBC 01203,9) wet forest soil near alpaca farm,Tranekær,"55°01'27.8""N 10°50'36.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01204,CWH 09,Denmark,tan / gray,bumpy,No,No,9/17/2020,,,,,,NBC 01204,9) wet forest soil near alpaca farm,Tranekær,"55°01'27.8""N 10°50'36.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01205,Apple Island,Denmark,tan,large bumps,No,reduced ZOI,8/10/2020,,Yes,,,,NBC 01205,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01206,Apple Island,Denmark,tan / white,small bumps,No,No,8/10/2020,,,,,,NBC 01206,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01207,Apple Island,Denmark,brown / white,fluffy,No,1 mm,8/10/2020,,Yes,,,,NBC 01207,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01208,Apple Island,Denmark,tan / white,fortress-like,No,No,8/10/2020,,Yes,,,,NBC 01208,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01209,Apple Island,Denmark,tan / white,bumpy,No,1 mm,8/10/2020,,,,,,NBC 01209,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01210,Apple Island,Denmark,reddish brown base/ white gray aerial mycelia,bumpy,No,No,8/10/2020,,Yes,,,,NBC 01210,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01211,Apple Island,Denmark,tan / gray,fuzzy,No,60 mm,8/10/2020,,Yes,,,Huge halo against E. coli but not against Ab.  Same active cmpd as the one produced by 01004?,NBC 01211,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01212,Apple Island,Denmark,"green base, dark gray aerial mycelia",small bumps,No,unsure,8/10/2020,,Yes,,,,NBC 01212,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
